"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF207",2.98597849215109e-262,0.320525468002619,0.746,0.523,6.78533752556413e-258,"2","ZNF207"
"SLC25A6",5.17579375493636e-262,0.333398341946891,0.969,0.936,1.17614737287174e-257,"2","SLC25A6"
"PNN",1.80792328809387e-260,0.3284380123967,0.772,0.558,4.1083248798645e-256,"2","PNN"
"SQLE",1.1011768587511e-258,0.287213073874151,0.3,0.137,2.502314293826e-254,"2","SQLE"
"SF3B5",5.52438985408929e-258,0.307147174139504,0.829,0.649,1.25536235044325e-253,"2","SF3B5"
"MRPL32",7.04252157425432e-258,0.258425507640885,0.6,0.362,1.60034260253355e-253,"2","MRPL32"
"NASP1",1.37777214424041e-256,0.362240620909368,0.828,0.65,3.13084942057191e-252,"2","NASP"
"HSPA2",3.49742268074576e-255,0.364080948087185,0.655,0.427,7.94754329972668e-251,"2","HSPA2"
"URI1",1.33804784112447e-254,0.257476760538565,0.466,0.26,3.04057991417124e-250,"2","URI1"
"TIMM8B",2.55851911321737e-252,0.28398141259338,0.55,0.332,5.81397883287514e-248,"2","TIMM8B"
"COX5A",5.006711472687e-252,0.295789873502127,0.746,0.52,1.13772511505339e-247,"2","COX5A"
"ATP5PB",3.27007598915921e-251,0.268628733397452,0.611,0.384,7.43092067776539e-247,"2","ATP5PB"
"HIGD1A",4.30333683326089e-251,0.252764145950565,0.377,0.194,9.77890261990204e-247,"2","HIGD1A"
"PRNP",6.66657750497366e-251,0.371726645263172,0.819,0.622,1.51491307223022e-246,"2","PRNP"
"AVPI1",1.48928444045837e-249,0.269024471739377,0.264,0.113,3.38424996249761e-245,"2","AVPI1"
"ANKLE2",1.06554966059937e-246,0.26475304881708,0.423,0.229,2.421355048746e-242,"2","ANKLE2"
"H1FX",1.46042790893645e-246,0.408595645870916,0.786,0.602,3.31867638026719e-242,"2","H1FX"
"EBPL",5.69864871546415e-246,0.260845215922325,0.568,0.346,1.29496093410207e-241,"2","EBPL"
"MAPRE1",5.84716985254272e-246,0.294143933686297,0.612,0.391,1.32871087729181e-241,"2","MAPRE1"
"CNBP",2.92806833719394e-245,0.300293552477606,0.881,0.723,6.65374248943952e-241,"2","CNBP"
"UBB",1.23672549570587e-244,0.456121642358394,0.991,0.994,2.81033501644201e-240,"2","UBB"
"KCMF1",1.09421000211496e-241,0.259163919848932,0.513,0.302,2.48648280880602e-237,"2","KCMF1"
"RSL24D1",4.30158632263074e-240,0.308127375715112,0.796,0.607,9.77492475954609e-236,"2","RSL24D1"
"EIF3D",1.33896461487805e-239,0.286187760626445,0.785,0.576,3.04266319084889e-235,"2","EIF3D"
"THUMPD3-AS1",1.25750179803742e-238,0.468931214766981,0.548,0.35,2.85754708586023e-234,"2","THUMPD3-AS1"
"THAP9-AS1",2.03271593440707e-236,0.333257259072013,0.432,0.245,4.61914368934663e-232,"2","THAP9-AS1"
"NR1D1",1.06838772601313e-233,0.266816642345299,0.369,0.192,2.42780426859223e-229,"2","NR1D1"
"SPPL3",1.34948262676051e-233,0.264444031668583,0.407,0.225,3.06656432105059e-229,"2","SPPL3"
"ATP5MD",1.95509534374109e-232,0.293599937927804,0.832,0.649,4.44275865911726e-228,"2","ATP5MD"
"UBE2H",3.72177327675436e-231,0.31626577433897,0.664,0.453,8.4573575940966e-227,"2","UBE2H"
"EIF3F",2.09978410485926e-229,0.292907840619808,0.91,0.811,4.77154939988218e-225,"2","EIF3F"
"NOLC1",2.45027916716221e-229,0.270782133804614,0.535,0.323,5.5680143794594e-225,"2","NOLC1"
"MED10",8.36855977480813e-229,0.2565208325872,0.607,0.39,1.9016715232274e-224,"2","MED10"
"TPI1",2.42194260771308e-228,0.322923145136339,0.947,0.873,5.50362238176721e-224,"2","TPI1"
"ARL5B",1.377664665047e-225,0.318994560930587,0.585,0.372,3.13060518485281e-221,"2","ARL5B"
"YWHAE1",1.6421288547124e-225,0.258782555989734,0.938,0.802,3.73157360944846e-221,"2","YWHAE"
"RPL7L1",3.69299374512924e-225,0.256721153525348,0.506,0.304,8.39195898643168e-221,"2","RPL7L1"
