"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","15/782","129/18614",0.000340809976493888,0.00603330560161314,0.00481088921431264,"6423/115908/6422/1601/2719/147495/947/26585/5754/9500/10252/8321/55366/144165/6092",15
"GO:0001823","GO:0001823","mesonephros development","13/782","102/18614",0.000340947273714528,0.00603330560161314,0.00481088921431264,"6422/116039/2719/10409/9353/26585/9500/10252/5087/6382/9244/55366/6092",13
"GO:1905477","GO:1905477","positive regulation of protein localization to membrane","13/782","102/18614",0.000340947273714528,0.00603330560161314,0.00481088921431264,"4035/7130/3958/5621/5295/975/11079/1956/6711/10857/2534/23184/6526",13
"GO:0050727","GO:0050727","regulation of inflammatory response","33/782","414/18614",0.00034164953935706,0.00603330560161314,0.00481088921431264,"5320/718/5176/7130/9314/301/3479/4192/348/114899/2896/5743/961/3956/975/2879/284207/351/26471/80762/4907/2950/4792/2534/1991/3123/90865/5740/3554/9536/185/29108/837",33
"GO:0071674","GO:0071674","mononuclear cell migration","20/782","202/18614",0.000343897325115857,0.0060508357824217,0.00482486758095701,"347/6387/4267/301/1893/4192/4681/5919/1843/2621/3958/961/9353/351/7499/26585/80310/58494/80270/29108",20
"GO:0003176","GO:0003176","aortic valve development","8/782","43/18614",0.000367532272291499,0.006438642143893,0.00513409995949677,"2006/11117/1009/9353/6615/6586/7048/6092",8
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","22/782","234/18614",0.000368609257771099,0.006438642143893,0.00513409995949677,"6423/6387/1382/6422/2335/348/10512/9353/351/9201/6586/5754/7048/10252/8828/7869/57142/5916/4692/11344/3913/144165",22
"GO:0006959","GO:0006959","humoral immune response","23/782","250/18614",0.000373764897503978,0.00650512841468114,0.00518711535506185,"9547/1675/718/715/3075/10417/716/2919/1191/6590/5919/28984/1604/710/79987/730/975/4853/1991/3123/283/717/5648",23
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","13/782","103/18614",0.000375492345385809,0.00651168560109706,0.00519234398087457,"6423/6387/1191/3162/5295/57007/6615/972/23612/26471/51065/29108/51246",13
"GO:0032330","GO:0032330","regulation of chondrocyte differentiation","9/782","54/18614",0.000378762572821533,0.00654485434972262,0.00521879236349458,"2202/4192/26585/4054/2734/94/7227/5916/4094",9
"GO:0042249","GO:0042249","establishment of planar polarity of embryonic epithelium","5/782","16/18614",0.000383238712876568,0.0065985494099212,0.00526160819332792,"6423/115908/6422/5754/8321",5
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","20/782","204/18614",0.000391054489643459,0.00670915905541323,0.00534980706565991,"6423/2934/9314/10550/1512/2621/5743/8743/25824/2537/1509/2149/358/27018/5329/23787/1611/51065/29108/10134",20
"GO:0007548","GO:0007548","sex differentiation","25/782","283/18614",0.000392867653481922,0.00671636509729201,0.0053555530814333,"6423/4313/7130/6422/10549/5156/4323/8743/10409/1545/9353/2674/8644/26471/5806/6586/10468/5087/10265/283/6382/10184/2067/55366/6092",25
"GO:0061045","GO:0061045","negative regulation of wound healing","11/782","78/18614",0.000399476705733273,0.00680521978212052,0.00542640479575195,"5156/348/2191/5270/302/710/947/928/5329/135228/7103",11
"GO:0010517","GO:0010517","regulation of phospholipase activity","10/782","66/18614",0.000404466112678295,0.00686595468035936,0.00547483411230961,"4035/301/5156/2260/1902/400/1956/378/283/185",10
"GO:0000302","GO:0000302","response to reactive oxygen species","20/782","205/18614",0.0004166761975818,0.00704840683698897,0.00562031938529541,"347/1277/4313/301/5156/348/10516/3162/10628/25824/1545/5831/8644/358/2950/80310/1956/2534/6649/6382",20
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","26/782","301/18614",0.000428295581487102,0.00721962586835425,0.00575684749205335,"6423/6387/1191/10550/5034/3162/5743/90993/1545/2537/5295/57007/64065/6615/972/23612/26471/3303/5329/2907/51065/10961/29108/10134/51246/837",26
